seq,first,last,email,gender,phone,street,city,state,zip,birthday
1,Barry,Wilkerson,hibe@le.kn,Female,(943) 998-4885,Vaub Road,Jewurod,MD,4173,3/22/2000
2,Roy,Austin,dorpo@puca.tf,Female,(943) 238-9102,Sube Grove,Amekazje,TN,23893,11/6/1954
3,Verna,French,fikus@gatieco.pr,Female,(249) 965-5716,Madze Loop,Tamkifu,NV,24155,10/11/1959
4,Johanna,McCormick,gah@tegar.tk,Female,(318) 472-5712,Urelin Highway,Zicavag,FL,40899,8/2/1969
5,Ora,Newman,povowa@halonijef.gr,Female,(788) 984-5704,Fekcon Lane,Cavjocu,AR,45411,10/31/1993
6,Florence,Rose,neghi@bivajvuf.mc,Male,(963) 684-9468,Durtob Pike,Lipjugcik,MA,92536,10/8/1992
7,Ada,Ryan,akonikuc@keredjod.ws,Male,(243) 635-7782,Damsi Place,Siibaep,TX,17767,10/18/1984
8,Margaret,Clarke,ozizovbe@afupur.ac,Male,(351) 249-5764,Cuuto Circle,Hebucza,UT,52520,3/25/2001
9,Duane,Bridges,pucumo@obe.lu,Male,(403) 266-1082,Lugi Lane,Puekaac,RI,62853,2/25/1977
10,Jose,Martin,nojkibliw@ho.ky,Male,(914) 577-3564,Voak Point,Eplivwi,MS,20236,8/13/1999
